番号,単語,訳,品詞,例文,訳文
232,personality,個性, 人格,名詞,She has a cheerful personality.,彼女は陽気な性格をしている。(AI生成)
233,pollution,汚染,名詞,Air pollution is a major health risk.,大気汚染は主要な健康リスクだ。(AI生成)
234,dominate,を支配する,動詞,One company dominates the market.,一つの会社が市場を支配している。(AI生成)
235,arise,生じる; 発生する,動詞,Problems may arise during the process.,過程で問題が生じるかもしれない。(AI生成)
236,framework,枠組み; 骨組み,名詞,The agreement provides a framework for cooperation.,その合意は協力のための枠組みを提供している。(AI生成)
237,permission,許可,名詞,You need permission to enter this area.,この区域に入るには許可が必要だ。(AI生成)
238,settlement,解決; 入植地,名詞,They reached a peaceful settlement.,彼らは平和的な解決に至った。(AI生成)
239,wealth,富, 財産,名詞,Health is better than wealth.,健康は富に勝る。(AI生成)
240,competitive,競争の; 競争力のある,形容詞,The market is highly competitive.,その市場は非常に競争が激しい。(AI生成)
241,exposure,さらされること; 暴露,名詞,Prolonged exposure to the sun is harmful.,太陽への長時間の露出は有害だ。(AI生成)
242,steel,鋼鉄,名詞,The bridge is made of steel and concrete.,その橋は鋼鉄とコンクリートで作られている。(AI生成)
243,efficiency,能率, 効率,名詞,We need to improve the efficiency of the engine.,私たちはエンジンの効率を改善する必要がある。(AI生成)
244,peak,頂点; 山頂,名詞,Traffic reaches its peak at 8 a.m.,交通量は午前8時にピークに達する。(AI生成)
245,liquid,液体,名詞,Water is a liquid at room temperature.,水は室温では液体だ。(AI生成)
246,plot,陰謀; (小説などの)筋,名詞,The plot of the movie was complicated.,その映画の筋は複雑だった。(AI生成)
247,guilty,有罪の,形容詞,The jury found him guilty.,陪審員は彼を有罪と評決した。(AI生成)
248,calculate,を計算する,動詞,We need to calculate the cost.,私たちは費用を計算する必要がある。(AI生成)
249,silence,沈黙, 静寂,名詞,There was a long silence.,長い沈黙があった。(AI生成)
250,grand,壮大な,形容詞,The grand canyon is a spectacular sight.,グランドキャニオンは壮大な光景だ。(AI生成)
251,purchase,を購入する,動詞,He purchased a new car last week.,彼は先週新しい車を購入した。(AI生成)
252,advertising,広告,名詞,We need to increase our advertising budget.,私たちは広告予算を増やす必要がある。(AI生成)
253,inner,内部の; 奥の,形容詞,The inner circle of the group made the decision.,そのグループの内部サークルが決定を下した。(AI生成)
254,combination,結合, 連結,名詞,The combination of red and blue makes purple.,赤と青の結合（組み合わせ）は紫を作る。(AI生成)
255,afford,を持つ[する]余裕がある,動詞,I can't afford to buy a new house.,私には新しい家を買う余裕がない。(AI生成)
256,sum,金額; 合計,名詞,He owes me a large sum of money.,彼は私に多額のお金を借りている。(AI生成)
257,channel,チャンネル; 経路; 海峡,名詞,Change the television channel, please.,テレビのチャンネルを変えてください。(AI生成)
258,religion,宗教,名詞,Freedom of religion is a fundamental right.,信仰（宗教）の自由は基本的な権利だ。(AI生成)
259,temperature,温度; 気温,名詞,The temperature dropped to zero last night.,昨夜、気温はゼロ度まで下がった。(AI生成)
260,struggle,奮闘する,動詞,He struggled to finish the report on time.,彼はレポートを時間通りに終わらせようと奮闘した。(AI生成)
261,store,を蓄える,動詞,Squirrels store nuts for the winter.,リスは冬のために木の実を蓄える。(AI生成)
262,author,著者, 作者,名詞,Who is the author of this book?,この本の著者は誰ですか？(AI生成)
263,odd,変な, 奇妙な,形容詞,I found an odd shoe in the garden.,私は庭で奇妙な靴を見つけた。(AI生成)
264,assistance,援助, 助力,名詞,Thank you for your assistance.,ご助力ありがとうございます。(AI生成)
265,agent,代理人; 作因,名詞,He is a secret agent.,彼は秘密工作員（代理人）だ。(AI生成)
266,missing,欠けている; 行方不明の,形容詞,The child has been missing for three days.,その子供は3日間行方不明だ。(AI生成)
267,republic,共和国,名詞,France is a republic.,フランスは共和国だ。(AI生成)
268,tone,音色; 音質,名詞,She spoke in a low tone.,彼女は低いトーン（口調）で話した。(AI生成)
269,expert,達人; 専門家,名詞,He is an expert on computer security.,彼はコンピュータセキュリティの専門家だ。(AI生成)
270,moreover,その上, さらに,副詞,The rent is cheap, and moreover, the location is good.,家賃は安く、その上、立地も良い。(AI生成)
271,somehow,何とかして,副詞,We must finish this project somehow.,私たちは何とかしてこのプロジェクトを終わらせなければならない。(AI生成)
272,proposal,提案,名詞,The committee accepted his proposal.,委員会は彼の提案を受け入れた。(AI生成)
273,argue,と主張する; を論じる,動詞,He argued that the policy was wrong.,彼はその政策は間違っていると主張した。(AI生成)
274,vehicle,乗り物, 車; 伝達手段,名詞,Cars and buses are road vehicles.,車やバスは道路を走る乗り物だ。(AI生成)
275,involve,を含む; を巻き込む,動詞,The job involves a lot of travel.,その仕事は多くの移動を含む。(AI生成)
276,soil,土, 土壌,名詞,This soil is good for growing vegetables.,この土は野菜を育てるのに適している。(AI生成)
277,van,(車の)バン,名詞,They moved their furniture in a van.,彼らはバンで家具を運んだ。(AI生成)
278,conduct,を実施する; を伝導する,動詞,The university conducted a survey on student health.,大学は学生の健康に関する調査を実施した。(AI生成)
279,novel,小説,名詞,I am reading a mystery novel.,私はミステリー小説を読んでいる。(AI生成)
280,rarely,めったに〜ない,副詞,He rarely makes mistakes.,彼はめったに間違いをしない。(AI生成)
281,guilty,罪悪感のある; 有罪の,形容詞,He felt guilty about lying.,彼は嘘をついたことに罪悪感を感じた。(AI生成)
282,frank,率直な,形容詞,To be frank, I don't like your plan.,率直に言って、私はあなたの計画が好きではない。(AI生成)
283,indicate,を示す; の兆候である,動詞,The data indicates a slight improvement.,データはわずかな改善を示している。(AI生成)
284,command,を命令する,動詞,The general commanded the troops to attack.,将軍は軍隊に攻撃を命令した。(AI生成)
285,assume,と仮定する; を引き受ける,動詞,I assume that you are busy.,あなたは忙しいのだと（私は）仮定します。(AI生成)
286,enormous,巨大な, 並外れた,形容詞,They have an enormous amount of work.,彼らには膨大な量の仕事がある。(AI生成)
287,shift,移る; 変わる,動詞,The wind shifted to the north.,風向きが北に変わった。(AI生成)
288,agricultural,農業の,形容詞,The country's economy relies on agricultural products.,その国の経済は農産物（農業製品）に依存している。(AI生成)
289,operate,を動かす; 運転する,動詞,Do you know how to operate this machine?,あなたはこの機械の動かし方を知っていますか？(AI生成)
290,efficient,能率的な,形容詞,This new engine is very efficient.,この新しいエンジンは非常に効率的だ。(AI生成)
291,willing,(~するのを)いとわない,形容詞,I am willing to help you.,私は喜んで（いとわずに）あなたを助けます。(AI生成)
292,emergency,緊急(事態),名詞,Call the police in an emergency.,緊急の場合は警察に電話しなさい。(AI生成)
293,identity,身元; 個性,名詞,The police discovered the identity of the thief.,警察は泥棒の身元を突き止めた。(AI生成)
294,determine,を決定する; を正確に知る,動詞,Your attitude determines your success.,あなたの態度があなたの成功を決定する。(AI生成)
295,countryside,田舎, 地方,名詞,She loves the peace and quiet of the countryside.,彼女は田舎の平和と静けさを愛している。(AI生成)
296,household,世帯, 家庭,名詞,Most households have a television.,ほとんどの世帯がテレビを持っている。(AI生成)
297,split,を分裂させる; を裂く,動詞,We split the bill between us.,私たちは勘定を割り勘にした（裂いた）。(AI生成)
298,constitution,憲法; 体質; 構成,名詞,The constitution guarantees freedom of speech.,憲法は言論の自由を保障している。(AI生成)
299,concentration,集中, 専心,名詞,This task requires total concentration.,この作業は全神経の集中を必要とする。(AI生成)
300,agriculture,農業,名詞,Agriculture is the main industry in this region.,農業はこの地域の主要産業だ。(AI生成)
301,observation,観察,名詞,Observation is the first step of the scientific method.,観察は科学的方法の第一歩だ。(AI生成)
302,reject,を拒絶する,動詞,The committee rejected his proposal.,委員会は彼の提案を拒絶した。(AI生成)
303,surround,を囲む,動詞,The house is surrounded by trees.,その家は木々に囲まれている。(AI生成)
304,adventure,冒険,名詞,They went on an adventure in the jungle.,彼らはジャングルへ冒険に出かけた。(AI生成)
305,annual,毎年の; 年1回の,形容詞,The company holds an annual meeting in June.,その会社は6月に年次総会を開く。(AI生成)
306,block,塊; 街区; 障害物,名詞,He walked around the block.,彼はそのブロック（街区）を一周歩いた。(AI生成)
307,curve,曲線; カーブ,名詞,The road has a sharp curve.,その道路には急なカーブがある。(AI生成)
308,mental,精神の; 知能の,形容詞,Mental health is as important as physical health.,精神の健康は身体の健康と同じくらい重要だ。(AI生成)
309,witness,目撃者,名詞,Police are looking for witnesses to the accident.,警察は事故の目撃者を捜している。(AI生成)
310,experiment,実験,名詞,The scientists conducted an experiment.,科学者たちは実験を行った。(AI生成)
311,trend,傾向; 流行,名詞,There is a growing trend towards healthy eating.,健康的な食事への傾向が高まっている。(AI生成)
312,illness,病気,名詞,He missed work due to illness.,彼は病気のため仕事を休んだ。(AI生成)
313,locally,局地的に; 地元で,副詞,This vegetable is grown locally.,この野菜は地元で栽培されている。(AI生成)
314,disaster,災害; 大惨事,名詞,The earthquake was a terrible disaster.,その地震は恐ろしい災害だった。(AI生成)
315,imply,をほのめかす; を意味する,動詞,Are you implying that I am lazy?,私が怠け者だとほのめかしているのですか？(AI生成)
316,decide,を決定する; 決心する,動詞,We decided to stay home.,私たちは家にいることに決めた。(AI生成)
317,rural,田舎の,形容詞,He grew up in a rural area.,彼は田舎の地域で育った。(AI生成)
318,warning,警告,名詞,The government issued a tsunami warning.,政府は津波警報（警告）を出した。(AI生成)
319,wire,針金; 電線,名詞,The fence is made of barbed wire.,その柵は有刺鉄線で作られている。(AI生成)
320,zone,地帯; 区域,名詞,This is a no-parking zone.,ここは駐車禁止区域だ。(AI生成)
321,provide,を供給する; 提供する,動詞,The hotel provides free Wi-Fi.,そのホテルは無料Wi-Fiを提供している。(AI生成)
322,behave,振る舞う; 行儀よくする,動詞,The children behaved well at the party.,子供たちはパーティーで行儀よく振る舞った。(AI生成)
323,penny,ペニー(貨幣),名詞,I don't have a single penny.,私は一銭も持っていない。(AI生成)
324,regulation,規則; 規制,名詞,We must follow the safety regulations.,私たちは安全規則に従わなければならない。(AI生成)
325,total,合計; 総計,名詞,The total comes to $50.,合計は50ドルになる。(AI生成)
326,nervous,神経質な; 不安な,形容詞,I felt nervous before the exam.,私は試験の前に不安を感じた。(AI生成)
327,adapt,適応する; を適合させる,動詞,It is important to adapt to change.,変化に適応することは重要だ。(AI生成)
328,danger,危険; 脅威,名詞,The sign warned of danger.,標識は危険を警告していた。(AI生成)
329,fear,恐怖; 不安,名詞,He has a fear of heights.,彼は高所恐怖症（高さへの恐怖）がある。(AI生成)
330,output,生産高; 出力,名詞,Industrial output has increased.,工業生産高が増加した。(AI生成)
331,somewhat,いくぶん; 多少,副詞,I was somewhat surprised by the news.,私はそのニュースにいくぶん驚いた。(AI生成)
332,teaching,教えること; 教え,名詞,She devoted her life to teaching.,彼女は人生を教えることに捧げた。(AI生成)
333,emerge,現れる; 明らかになる,動詞,New problems emerged soon after.,その後すぐに新しい問題が現れた。(AI生成)
334,mass,塊; 一般大衆; 質量,名詞,A mass of dark clouds appeared.,黒い雲の塊が現れた。(AI生成)
335,origin,起源; 生まれ,名詞,The origin of the universe is a mystery.,宇宙の起源は謎だ。(AI生成)
336,sequence,連続; 順序,名詞,The numbers are in a sequence.,数字は順序通りに並んでいる。(AI生成)
337,snow,雪,名詞,Heavy snow caused traffic delays.,大雪が交通の遅れを引き起こした。(AI生成)
338,sky,空,名詞,The sky is blue today.,今日は空が青い。(AI生成)
339,pocket,ポケット,名詞,He put his hands in his pockets.,彼はポケットに手を入れた。(AI生成)
340,factory,工場,名詞,They built a new car factory.,彼らは新しい自動車工場を建設した。(AI生成)
341,notion,概念; 観念,名詞,I have no notion of what you mean.,あなたが何を言っているのか全く概念（見当）がつかない。(AI生成)
342,conservative,保守的な,形容詞,He has conservative views on politics.,彼は政治に関して保守的な考えを持っている。(AI生成)
343,bone,骨,名詞,The dog buried a bone in the garden.,犬は庭に骨を埋めた。(AI生成)
344,citizen,市民; 国民,名詞,She became a US citizen last year.,彼女は昨年アメリカ市民になった。(AI生成)
345,hill,丘; 小山,名詞,They climbed to the top of the hill.,彼らは丘の頂上まで登った。(AI生成)
346,left,左,名詞,Turn to the left at the corner.,角を左に曲がってください。(AI生成)
347,ocean,大洋, 海,名詞,The Pacific is the largest ocean.,太平洋は最大の海洋だ。(AI生成)
348,schedule,予定(表); 時刻表,名詞,According to the schedule, the bus leaves at 9.,予定表によるとバスは9時に出る。(AI生成)
349,virtual,事実上の; 仮想の,形容詞,The meeting will be held in a virtual environment.,会議は仮想環境で行われる。(AI生成)
350,weapon,武器, 兵器,名詞,Nuclear weapons are a threat to humanity.,核兵器は人類への脅威だ。(AI生成)
351,collection,収集; コレクション,名詞,He has a large collection of stamps.,彼は切手の大きなコレクションを持っている。(AI生成)
352,reform,改革; 改善,名詞,The government promised education reform.,政府は教育改革を約束した。(AI生成)
353,crowd,群衆; 人混み,名詞,A large crowd gathered to see the star.,そのスターを見るために大群衆が集まった。(AI生成)
354,internal,内部の; 国内の,形容詞,The company launched an internal investigation.,その会社は内部調査を開始した。(AI生成)
355,progress,進歩; 前進,名詞,Technological progress is rapid.,技術的進歩は急速だ。(AI生成)
356,except,を除いて,前置詞,Everyone went to the party except him.,彼以外は皆パーティーに行った。(AI生成)
357,mystery,謎; ミステリー,名詞,The cause of the fire remains a mystery.,火事の原因は謎のままだ。(AI生成)
358,prisoner,囚人; 捕虜,名詞,The prisoner escaped from jail.,その囚人は刑務所から脱走した。(AI生成)
359,reasonable,妥当な; 手頃な; 分別のある,形容詞,The price was reasonable.,価格は妥当（手頃）だった。(AI生成)
360,wood,木材; 森,名詞,This table is made of solid wood.,このテーブルは無垢材で作られている。(AI生成)
361,famous,有名な,形容詞,She is a famous singer.,彼女は有名な歌手だ。(AI生成)
362,capture,を捕らえる; を攻略する,動詞,The police captured the suspect.,警察は容疑者を捕らえた。(AI生成)
363,middle,真ん中, 中央,名詞,He stood in the middle of the room.,彼は部屋の真ん中に立った。(AI生成)
364,unknown,未知の; 無名の,形容詞,The author of the poem is unknown.,その詩の作者は不明だ。(AI生成)
365,branch,枝; 支店; 部門,名詞,The bank has a branch in Tokyo.,その銀行は東京に支店がある。(AI生成)
366,healthy,健康な; 健康的な,形容詞,Eating vegetables is a healthy habit.,野菜を食べることは健康的な習慣だ。(AI生成)
367,breath,息, 呼吸,名詞,Take a deep breath.,深呼吸をしなさい。(AI生成)
368,rapid,急速な, 速い,形容詞,The city has undergone rapid change.,その都市は急速な変化を遂げた。(AI生成)
369,mechanical,機械の,形容詞,The flight was delayed due to mechanical trouble.,機械のトラブルでフライトが遅れた。(AI生成)
370,rate,割合; 速度; 料金,名詞,The unemployment rate has fallen.,失業率は低下した。(AI生成)
371,sample,見本; 標本,名詞,Can I have a free sample?,無料サンプルをもらえますか？(AI生成)
372,sight,視力; 光景; 名所,名詞,The Grand Canyon is a magnificent sight.,グランドキャニオンは壮大な光景だ。(AI生成)
373,expect,を予期する; を期待する,動詞,We expect rain tomorrow.,明日は雨が降ると予期している。(AI生成)
374,bag,袋; かばん,名詞,Do you need a plastic bag?,レジ袋は必要ですか？(AI生成)
375,content,満足して,形容詞,He is content with his life.,彼は自分の人生に満足している。(AI生成)
376,rise,上がる; 増える,動詞,The sun rises in the east.,太陽は東から昇る。(AI生成)
377,brand,銘柄, ブランド,名詞,Which brand of coffee do you prefer?,どのブランドのコーヒーが好きですか？(AI生成)
378,crime,犯罪,名詞,Violent crime is on the rise.,凶悪犯罪が増加している。(AI生成)
379,bridge,橋,名詞,They built a bridge across the river.,彼らは川に橋を架けた。(AI生成)
380,document,文書; 書類,名詞,Please sign this document.,この書類に署名してください。(AI生成)
381,motion,動き; 動作; 提案,名詞,The train was in motion.,列車は動いていた。(AI生成)
382,encourage,を励ます; を奨励する,動詞,My parents encouraged me to study abroad.,両親は私に留学するよう励ましてくれた。(AI生成)
383,element,要素; 元素,名詞,Oxygen is a chemical element.,酸素は化学元素だ。(AI生成)
384,confirm,を確認する; を裏付ける,動詞,Please confirm your reservation.,予約を確認してください。(AI生成)
385,end,終わり; 目的,名詞,We worked until the end of the day.,私たちは一日の終わりまで働いた。(AI生成)
386,leader,指導者, リーダー,名詞,He is a natural leader.,彼は生まれついてのリーダーだ。(AI生成)
387,measure,を測る; を評価する,動詞,He measured the length of the room.,彼は部屋の長さを測った。(AI生成)
388,shoulder,肩,名詞,He carried the bag on his shoulder.,彼はバッグを肩に担いだ。(AI生成)
389,unit,単位; 一団,名詞,The meter is a unit of length.,メートルは長さの単位だ。(AI生成)
390,seek,を捜す; を求める,動詞,Seek and you shall find.,求めよ、さらば与えられん。(AI生成)
391,cultural,文化の,形容詞,Kyoto is the cultural center of Japan.,京都は日本の文化的な中心地だ。(AI生成)
392,candidate,候補者,名詞,There are three candidates for the job.,その仕事には3人の候補者がいる。(AI生成)
393,plastic,プラスチックの,形容詞,We are trying to reduce plastic waste.,私たちはプラスチックごみを減らそうとしている。(AI生成)
394,growth,成長; 発展,名詞,Plants need sunlight for growth.,植物の成長には日光が必要だ。(AI生成)
395,row,列; 並び,名詞,We sat in the front row.,私たちは最前列に座った。(AI生成)
396,island,島,名詞,Japan consists of many islands.,日本は多くの島々から成る。(AI生成)
397,transportation,輸送; 交通機関,名詞,Bicycles are a cheap form of transportation.,自転車は安価な輸送手段だ。(AI生成)
398,plant,植物; 工場,名詞,She watered the plants in the garden.,彼女は庭の植物に水をやった。(AI生成)
399,interview,面接; インタビュー,名詞,I have a job interview tomorrow.,明日は仕事の面接がある。(AI生成)
400,guest,客; ゲスト,名詞,We have guests coming for dinner.,夕食にお客さんが来る。(AI生成)
401,ease,たやすさ; 平易さ,名詞,He passed the exam with ease.,彼はその試験にたやすく合格した。(AI生成)
402,poverty,貧乏; 貧困,名詞,Many people in the world live in poverty.,世界の多くの人々が貧困の中で暮らしている。(AI生成)
403,characteristic,特徴; 特性,名詞,Kindness is one of her characteristics.,親切さは彼女の特徴の一つだ。(AI生成)
404,sake,ため; 目的; 理由,名詞,I did it for the sake of my family.,私は家族のためにそれをした。(AI生成)
405,cottage,小さな家,名詞,They spent the summer in a cottage by the lake.,彼らは湖畔の小さな家で夏を過ごした。(AI生成)
406,complicated,複雑な,形容詞,The instructions were too complicated to understand.,その説明書は理解するには複雑すぎた。(AI生成)
407,dominant,支配的な,形容詞,English is the dominant language in the business world.,英語はビジネス界で支配的な言語だ。(AI生成)
408,constantly,絶えず; 常に,副詞,Technology is constantly changing.,科学技術は絶えず変化している。(AI生成)
409,vary,異なる; さまざまである,動詞,Prices vary depending on the season.,価格は季節によって異なる。(AI生成)
410,depth,深さ; 奥行き,名詞,The divers measured the depth of the ocean.,ダイバーたちは海の深さを測った。(AI生成)
411,intellectual,知性の; 知的な,形容詞,He enjoys intellectual conversations.,彼は知的な会話を楽しむ。(AI生成)
412,loose,しっかり留まっていない; 緩い,形容詞,One of the screws is loose.,ねじの一つが緩んでいる。(AI生成)
413,bomb,爆弾,名詞,The police defused the bomb safely.,警察は爆弾を安全に信管除去した。(AI生成)
414,holy,神聖な,形容詞,Jerusalem is a holy city for three religions.,エルサレムは3つの宗教にとって聖なる都市だ。(AI生成)
415,anxious,心配して; 切望して,形容詞,She is anxious about her father's health.,彼女は父の健康を心配している。(AI生成)
416,guard,護衛者; 番人,名詞,The security guard checked our bags.,警備員が私たちのカバンを確認した。(AI生成)
417,impressive,印象的な,形容詞,Her presentation was very impressive.,彼女のプレゼンテーションはとても印象的だった。(AI生成)
418,exception,例外,名詞,There is an exception to every rule.,あらゆる規則には例外がある。(AI生成)
419,nervous,不安な; 神経質な,形容詞,I always feel nervous before a job interview.,私は就職面接の前はいつも不安になる。(AI生成)
420,fee,報酬; 謝礼,名詞,The lawyer charges a high fee.,その弁護士は高い報酬を請求する。(AI生成)
421,tendency,傾向; 風潮,名詞,There is a tendency for people to marry later.,晩婚化の傾向がある。(AI生成)
422,accurate,正確な; 的確な,形容詞,We need accurate information to make a decision.,決断を下すには正確な情報が必要だ。(AI生成)
423,harm,害; 危害,名詞,Smoking does a lot of harm to your health.,喫煙は健康に多大な害を及ぼす。(AI生成)
424,origin,起源; 源,名詞,The origin of this word is unknown.,この単語の起源は不明だ。(AI生成)
425,suspect,と思う; を怪しいと思う,動詞,I suspect that he is hiding something.,私は彼が何かを隠しているのではないかと疑っている。(AI生成)
426,bond,絆; 縁,名詞,There is a strong bond between the two brothers.,その兄弟の間には強い絆がある。(AI生成)
427,enthusiasm,熱狂; 熱心,名詞,He showed great enthusiasm for the project.,彼はそのプロジェクトに多大な熱意を示した。(AI生成)
428,spare,予備の,形容詞,Do you have a spare key?,予備の鍵を持っていますか？(AI生成)
429,extraordinary,異常な; 並外れた,形容詞,She has an extraordinary talent for music.,彼女は音楽の並外れた才能を持っている。(AI生成)
430,leisure,余暇,名詞,What do you do in your leisure time?,余暇には何をしますか？(AI生成)
431,visible,可視の; 目に見える,形容詞,The stars were visible despite the city lights.,街の明かりにもかかわらず星が見えた。(AI生成)
432,device,装置; 仕掛け,名詞,This device is used to measure temperature.,この装置は温度を測るために使われる。(AI生成)
433,pride,誇り; 自尊心; 自慢の種,名詞,He takes pride in his work.,彼は自分の仕事に誇りを持っている。(AI生成)
434,remote,遠い; 離れた,形容詞,They live in a remote village in the mountains.,彼らは山奥の離れた村に住んでいる。(AI生成)
435,confusion,混乱; 無秩序,名詞,The announcement caused a lot of confusion.,その発表は多くの混乱を引き起こした。(AI生成)
436,pitch,(音声の)高低; 調子,名詞,Dogs can hear sounds at a high pitch.,犬は高い音程の音を聞くことができる。(AI生成)
437,steady,安定した,形容詞,He has a steady job.,彼は安定した仕事に就いている。(AI生成)
438,stolen,盗まれた,形容詞,The police found the stolen car.,警察は盗難車を発見した。(AI生成)
439,column,円柱; 縦列; 欄,名詞,The building is supported by massive columns.,その建物は巨大な円柱で支えられている。(AI生成)
440,calm,冷静な; 穏やかな,形容詞,Please stay calm in an emergency.,緊急時は冷静でいてください。(AI生成)
441,climate,気候,名詞,The climate is changing rapidly.,気候は急速に変化している。(AI生成)
442,evil,邪悪な,形容詞,In the story, the hero defeats the evil wizard.,物語の中で、主人公は邪悪な魔法使いを倒す。(AI生成)
443,distant,遠い; 離れた,形容詞,She heard a distant sound of thunder.,彼女は遠くの雷の音を聞いた。(AI生成)
444,disaster,災害; 災難,名詞,The tsunami was a major disaster for the region.,その津波は地域にとって大災害だった。(AI生成)
445,satisfaction,満足; 喜び,名詞,He looked at his finished work with satisfaction.,彼は満足げに完成した自分の仕事を見た。(AI生成)
446,string,ひも; 糸,名詞,She tied the package with a piece of string.,彼女はひもで小包を結んだ。(AI生成)
447,gentle,優しい; 穏やかな,形容詞,He has a gentle voice.,彼は優しい声をしている。(AI生成)
448,childhood,幼児期; 子供時代,名詞,I had a happy childhood.,私は幸せな子供時代を過ごした。(AI生成)
449,delighted,非常に喜んで,形容詞,I am delighted to meet you.,お会いできてとても嬉しいです。(AI生成)
450,poetry,詩; 韻文,名詞,She loves reading romantic poetry.,彼女は恋愛詩を読むのが大好きだ。(AI生成)
451,layer,層,名詞,The cake has three layers.,そのケーキは3つの層になっている。(AI生成)
452,criminal,犯罪者; 犯罪の,名詞,The police are looking for a dangerous criminal.,警察は危険な犯罪者を捜している。(AI生成)
453,habit,習慣,名詞,Smoking is a bad habit.,喫煙は悪い習慣だ。(AI生成)
454,survive,生き残る,動詞,Only the fittest animals survive in the wild.,最も適応した動物だけが野生で生き残る。(AI生成)
455,flight,飛行; フライト,名詞,Our flight was cancelled due to bad weather.,悪天候のため私たちのフライトは欠航になった。(AI生成)
456,plain,明白な; 質素な; 平野,形容詞,It was plain that she was tired.,彼女が疲れているのは明白だった。(AI生成)
457,advise,に忠告する,動詞,I advise you to see a doctor.,医者に診てもらうことをお勧め（忠告）します。(AI生成)
458,scream,叫び声を上げる,動詞,She screamed when she saw the spider.,彼女はクモを見て叫び声を上げた。(AI生成)
459,intention,意図, つもり,名詞,I have no intention of changing my mind.,私には考えを変えるつもり（意図）はない。(AI生成)
460,silent,静かな; 沈黙した,形容詞,He remained silent during the meeting.,彼は会議中ずっと黙っていた。(AI生成)
461,passenger,乗客,名詞,All passengers must wear seatbelts.,すべての乗客はシートベルトを着用しなければならない。(AI生成)
462,unfair,不公平な,形容詞,It is unfair to blame him.,彼を責めるのは不公平だ。(AI生成)
463,angry,怒った,形容詞,She was angry with me for being late.,彼女は私が遅刻したことに怒っていた。(AI生成)
464,audience,聴衆; 観客,名詞,The audience clapped loudly.,聴衆は盛大に拍手した。(AI生成)
465,useful,役に立つ,形容詞,This book contains useful information.,この本は役に立つ情報を含んでいる。(AI生成)
466,village,村,名詞,He grew up in a small village.,彼は小さな村で育った。(AI生成)
467,comfortable,快適な,形容詞,The bed was very comfortable.,そのベッドはとても快適だった。(AI生成)
468,threaten,を脅す,動詞,He threatened to call the police.,彼は警察を呼ぶと脅した。(AI生成)
469,gain,を得る; 増す,動詞,She gained a lot of experience in her new job.,彼女は新しい仕事で多くの経験を得た。(AI生成)
470,strength,強さ; 力,名詞,He has great physical strength.,彼は凄まじい体力（身体的強さ）を持っている。(AI生成)
471,imagine,を想像する,動詞,Can you imagine life without electricity?,電気のない生活を想像できますか？(AI生成)
472,besides,その上; ~に加えて,副詞,It's too late to go out, and besides, it's raining.,出かけるには遅すぎるし、その上、雨も降っている。(AI生成)
473,nor,~もまた...ない,接続詞,He can neither read nor write.,彼は読み書きができない。(AI生成)
474,root,根; 起源,名詞,Money is the root of all evil.,金は諸悪の根源だ。(AI生成)
475,dry,乾いた,形容詞,Keep this medicine in a cool, dry place.,この薬は涼しく乾燥した場所に保管してください。(AI生成)
476,wish,と願う,動詞,I wish I could fly.,空を飛べたらいいのにと願う。(AI生成)
